phase,A1_actionId,C_actionId,n_context,A1_playerId,A1_spinId,C_spinId,EV,count,train_winrate,usage_rate
front3,15,1,7,0,2,1,0.5369058758096712,3,0.6666666666666666,0.42857142857142855
front3,15,2,7,0,2,1,0.5092294917024586,1,1.0,0.14285714285714285
front3,15,6,7,0,2,3,0.4917547558641129,2,0.0,0.2857142857142857
front3,15,10,7,0,2,2,0.40085128597026104,1,0.0,0.14285714285714285
front3,15,6,3,0,3,3,0.5051094798994803,1,1.0,0.3333333333333333
front3,15,7,3,0,3,1,0.4465047139732474,1,1.0,0.3333333333333333
front3,15,11,3,0,3,3,0.37969347417916177,1,0.0,0.3333333333333333
front3,15,1,3,0,4,1,0.5165666235129157,1,0.0,0.3333333333333333
front3,15,6,3,0,4,3,0.4824753201008865,2,0.0,0.6666666666666666
front3,15,1,8,0,5,1,0.4962023062971792,2,0.0,0.25
front3,15,2,8,0,5,1,0.4801131895328671,2,1.0,0.25
front3,15,7,8,0,5,1,0.43746495756513215,1,1.0,0.125
front3,15,11,8,0,5,2,0.40288245300876857,1,0.0,0.125
front3,15,11,8,0,5,3,0.38110307789640036,1,1.0,0.125
front3,15,13,8,0,5,3,0.28978538326820935,1,0.0,0.125
front3,17,6,1,0,4,3,0.4984228734901036,1,1.0,1.0
front3,17,1,7,0,5,1,0.4601818416871204,1,1.0,0.14285714285714285
front3,17,6,7,0,5,3,0.47548377445780005,3,0.6666666666666666,0.42857142857142855
front3,17,11,7,0,5,2,0.40360392043769894,2,0.5,0.2857142857142857
front3,17,13,7,0,5,3,0.29301195625129894,1,0.0,0.14285714285714285
front3,15,1,3,1,2,1,0.5053834192399006,1,0.0,0.3333333333333333
front3,15,2,3,1,2,0,0.012535509825699348,1,0.0,0.3333333333333333
front3,15,10,3,1,2,2,0.39989842414237237,1,1.0,0.3333333333333333
front3,15,13,1,1,4,3,0.28127451417221133,1,0.0,1.0
front3,15,1,15,1,5,1,0.46611577616993033,4,0.5,0.26666666666666666
front3,15,2,15,1,5,1,0.45388427226958494,1,1.0,0.06666666666666667
front3,15,10,15,1,5,2,0.40980487808463173,6,0.3333333333333333,0.4
front3,15,13,15,1,5,3,0.3097949283367271,4,0.25,0.26666666666666666
front3,16,10,1,1,2,2,0.3967710097531611,1,1.0,1.0
front3,16,13,3,1,4,3,0.28168760981132385,3,0.0,1.0
front3,16,1,3,1,5,1,0.4459921137443332,2,0.0,0.6666666666666666
front3,16,13,3,1,5,3,0.305341615767204,1,0.0,0.3333333333333333
front3,15,10,2,2,2,2,0.41758199760113845,2,0.5,1.0
front3,15,6,1,2,3,3,0.4859706425627083,1,0.0,1.0
front3,15,6,8,2,4,3,0.46444116595593227,2,0.0,0.25
front3,15,10,8,2,4,2,0.3806346476845096,2,0.0,0.25
