phase,A1_actionId,C_actionId,EV,A1_playerId,A1_spinId,C_spinId,count,train_winrate,usage_rate
front3,15,1,0.5138213567041925,96,5,1,136,0.5661764705882353,0.4444444444444444
front3,15,1,0.544309964520569,136,2,1,95,0.47368421052631576,0.42035398230088494
front3,15,1,0.5074467404586585,136,5,1,91,0.4945054945054945,0.3807531380753138
front3,15,1,0.5337082359873045,144,5,1,63,0.5873015873015873,0.4315068493150685
front3,15,1,0.5496578677697218,128,2,1,59,0.5084745762711864,0.48360655737704916
front3,16,1,0.5284580630057277,21,5,1,59,0.4915254237288136,0.4645669291338583
front3,15,1,0.5064003705979597,128,5,1,54,0.46296296296296297,0.5684210526315789
front3,0,1,0.5459749232311564,96,5,1,53,0.6037735849056604,0.31736526946107785
front3,15,1,0.5349605618398658,132,4,1,51,0.6666666666666666,0.6623376623376623
front3,15,1,0.5187007666102709,132,5,1,50,0.46,0.49019607843137253
front3,15,1,0.5403474525686279,96,2,1,50,0.78,0.45045045045045046
front3,15,1,0.4637391626486547,72,5,1,49,0.4489795918367347,0.35
front3,0,1,0.5500505123475202,136,2,1,45,0.5333333333333333,0.36
front3,15,1,0.569221362292502,64,5,1,45,0.5777777777777777,0.34615384615384615
front3,15,1,0.5264691502237687,111,5,1,43,0.5581395348837209,0.4942528735632184
front3,16,6,0.5331630840982721,21,4,1,42,0.4523809523809524,0.40384615384615385
front3,0,1,0.5433415975825826,128,5,1,41,0.5609756097560976,0.5
front3,0,1,0.5329702266194644,70,2,1,38,0.47368421052631576,0.3392857142857143
front3,15,10,0.4363202187860147,136,2,2,37,0.43243243243243246,0.16371681415929204
front3,15,2,0.5012377913338981,96,5,1,37,0.43243243243243246,0.12091503267973856
front3,15,10,0.42409371735456386,136,5,2,36,0.5,0.1506276150627615
front3,15,10,0.460602742567086,155,5,2,33,0.42424242424242425,0.515625
front3,15,10,0.47378889908738075,155,2,2,33,0.45454545454545453,0.532258064516129
front3,15,10,0.5655157151168557,82,5,2,33,0.6666666666666666,0.5789473684210527
front3,15,1,0.5545161164907101,101,5,1,33,0.6666666666666666,0.3793103448275862
front3,15,1,0.5765940283231236,153,5,1,32,0.625,0.4155844155844156
front3,15,6,0.4867732079084679,96,5,1,32,0.3125,0.10457516339869281
front3,0,2,0.5320638179172897,96,5,1,32,0.59375,0.19161676646706588
front3,15,2,0.49441736896654337,136,5,1,31,0.5161290322580645,0.1297071129707113
front3,0,1,0.5693928474009479,96,2,1,31,0.6129032258064516,0.3263157894736842
front3,15,1,0.5275627172164735,128,4,1,31,0.6774193548387096,0.5740740740740741
front3,15,1,0.6305583743769493,153,3,1,31,0.7741935483870968,0.62
front3,15,1,0.5303228181210833,96,4,1,30,0.6666666666666666,0.2777777777777778
front3,15,10,0.4422626457805743,144,5,2,30,0.4,0.2054794520547945
front3,15,1,0.48717108397293063,72,4,1,29,0.41379310344827586,0.4084507042253521
front3,15,1,0.5632836113791484,128,3,1,29,0.7586206896551724,0.7631578947368421
front3,15,6,0.5731324452267321,64,4,1,29,0.7241379310344828,0.43283582089552236
front3,15,11,0.4714482570921702,128,2,2,29,0.4827586206896552,0.23770491803278687
front3,15,1,0.5070409470293947,70,2,1,27,0.5925925925925926,0.32926829268292684
front3,0,2,0.5296449478705579,96,4,1,27,0.3333333333333333,0.34615384615384615
front3,15,6,0.5060762066974613,96,4,1,26,0.38461538461538464,0.24074074074074073
front3,0,2,0.535379202536088,136,2,1,26,0.34615384615384615,0.208
front3,0,1,0.5400132489437098,133,2,1,25,0.48,0.36764705882352944
front3,15,1,0.5422739814595848,122,4,1,25,0.52,0.3968253968253968
front3,15,1,0.5571386226661204,96,3,1,24,0.4166666666666667,0.47058823529411764
front3,15,6,0.512210305672591,106,5,1,24,0.3333333333333333,0.34782608695652173
front3,15,6,0.5411910663750765,64,5,1,23,0.34782608695652173,0.17692307692307693
front3,0,12,0.5553603997270381,66,5,2,23,0.6086956521739131,0.7666666666666667
front3,15,1,0.5253624148576252,136,4,1,23,0.5652173913043478,0.2839506172839506
